Rank2021,Airport,City served,Country,Passengers-2021,Passengers-2020,Change 2021-2020-Num,Change 2021-2020-%
60,Kazan International Airport,Kazan,Russia,3876000,"2171603,00",1704397,"%78,49"
61,Toulouse–Blagnac Airport,Toulouse,France,3821653,"3130847,00",690806,"%22,06"
62,Brussels South Charleroi Airport,Charleroi,Belgium,3758833,"2558046,00",1200787,"%46,94"
63,EuroAirport Basel Mulhouse Freiburg,Basel/Mulhouse/Freiburg im Breisgau,France  Switzerland,3621742,"2598980,00",1022762,"%39,35"
64,Stuttgart Airport,Stuttgart,Germany,3573728,"3213695,00",360033,"%11,20"
65,"Thessaloniki Airport ""Macedonia""",Thessaloniki,Greece,3449658,"2317336,00",1132322,"%48,86"
66,Seville Airport,Seville,Spain,3444459,"2315610,00",1128849,"%48,75"
67,Venice Marco Polo Airport,Venice,Italy,3437204,"2799688,00",637516,"%22,77"
68,Rhodes International Airport,Rhodes,Greece,3366614,"1551123,00",1815491,"%117,04"
69,Sofia Airport,Sofia,Bulgaria,3364151,"2937846,00",426305,"%14,51"
70,Nantes Atlantique Airport,Nantes,France,3294142,"2327718,00",966424,"%41,52"
71,Belgrade Nikola Tesla Airport,Belgrade,Serbia,3286285,"1904025,00",1382260,"%72,60"
72,"Bergen Airport, Flesland",Bergen,Norway,3273709,"2711276,00",562433,"%20,74"
73,Faro Airport,Faro,Portugal,3265000,"2208000,00",1057000,"%47,87"
74,Mineralnye Vody Airport[note 2],Mineralnye Vody,Russia,3204709,"1797989,00",1406720,"%78,24"
75,Kraków John Paul II International Airport,Kraków,Poland,3072000,"2592972,00",479028,"%18,47"
76,Bordeaux–Mérignac Airport,Bordeaux,France,3050881,"2253000,00",797881,"%35,41"
77,Edinburgh Airport,Edinburgh,United Kingdom,3023614,"3473652,00",-450038,"-%12,96"
78,Kurumoch International Airport,Samara,Russia,2993142,"1675034,00",1318108,"%78,69"
79,Anapa Airport[note 2],Anapa,Russia,2931057,"1813347,00",1117710,"%61,64"
80,Tirana Airport,Tirana,Albania,2923533,"1310614,00",1612919,"%123,07"
81,Platov International Airport,Rostov-on-Don,Russia,2897938,"2086000,00",811938,"%38,92"
82,Cagliari Elmas Airport,Cagliari,Italy,2753899,"1767890,00",986009,"%55,77"
83,Eindhoven Airport,Eindhoven,Netherlands,2698424,"2112785,00",585639,"%27,72"
84,Bilbao Airport,Bilbao,Spain,2580911,"1690011,00",890900,"%52,72"
85,Malta International Airport,Malta,Malta,2540335,"1748050,00",792285,"%45,32"
86,Minsk National Airport,Minsk,Belarus,2500000,"1939192,00",560808,"%28,92"
87,Birmingham Airport,Birmingham,United Kingdom,2476584,"2865845,00",-389261,"-%13,58"
88,Riga International Airport,Riga,Latvia,2353064,"2010000,00",343064,"%17,07"
89,Katowice Airport,Katowice,Poland,2328973,"1445781,00",883192,"%61,09"
90,Belfast International Airport,Belfast,United Kingdom,2327139,"1746951,00",580188,"%33,21"
91,Ciampino Airport,Rome,Italy,2326113,"1621159,00",704954,"%43,48"
92,Corfu International Airport,Corfu,Greece,2317336,"961037,00",1356299,"%141,13"
93,Pristina International Airport,Pristina,Kosovo,2176036,"1102091,00",1073945,"%97,45"
94,Keflavík International Airport,Reykjavík,Iceland,2172152,"1373971,00",798181,"%58,09"
95,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,2154563,"1711281,00",443282,"%25,90"
96,Bristol Airport,Bristol,United Kingdom,2085745,"2192725,00",-106980,"-%4,88"
97,Olbia Costa Smeralda Airport,Olbia,Italy,2081057,"1,00",2081057,"%208105700,00"
98,Beauvais–Tillé Airport,Paris,France,2073643,"1258180,00",815463,"%64,81"
99,Glasgow Airport,Glasgow,United Kingdom,2071124,"1944981,00",126143,"%6,49"
100,Turin Airport,Turin,Italy,2066106,"1,00",2066106,"%206610600,00"
101,Trondheim Airport Værnes,Trondheim,Norway,2062299,"1802826,00",259473,"%14,39"
